,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061
Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,26.67000008,26.67000008,26.67000008,33.81000137,67.13999939,67.13999939,67.13999939,67.13999939,70.70999908,70.70999908,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,.,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092
Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,31.43000031,31.43000031,34.29000092,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,48.56999969,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,62.86000061,49.75999832
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,42.86000061,42.86000061,42.86000061,42.86000061,42.86000061,79.29000092,79.29000092,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,.,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,17.13999939,17.13999939,17.13999939,17.13999939,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.81000137,43.81000137,43.81000137,78.33000183,78.33000183,78.33000183,78.33000183,78.33000183,78.33000183,83.09999847,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,94.29000092,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,12.38000011,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,27.86000061,27.86000061,27.86000061,27.86000061,27.86000061,27.86000061,37.38000107,37.38000107,52.86000061,52.86000061,52.86000061,52.86000061,52.86000061,68.09999847,68.09999847,68.09999847,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,31.43000031,31.43000031,31.43000031,31.43000031,31.43000031,31.43000031,31.43000031,31.43000031,68.80999756,68.80999756,68.80999756,68.80999756,71.66999817,71.66999817,71.66999817,71.66999817,75.23999786,75.23999786,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,84.76000214,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,37.13999939,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,60.95000076,84.76000214,84.76000214,84.76000214,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,85.94999695,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,90.70999908,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031
Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,17.13999939,17.13999939,20,20,22.86000061,37.13999939,37.13999939,37.13999939,37.13999939,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,57.86000061,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,.,.,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,37.13999939,61.43000031,61.43000031,61.43000031,61.43000031,61.43000031,61.43000031,65,65,65,65,65,65,65,65,65,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,87.62000275,84.05000305,84.05000305,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214
