,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020
Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56999969,38.09999847,46.66999817,46.66999817,66.90000153,66.90000153,68.09999847,63.33000183,66.90000153,81.19000244,85.94999695,85.94999695,85.94999695,85.94999695,89.51999664,89.51999664,89.51999664,89.51999664,89.51999664,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,34.52000046,47.38000107,47.38000107,47.38000107,47.38000107,60.47999954,60.47999954,68.09999847,68.09999847,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,75.70999908,71.66999817,71.66999817,71.66999817,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275,77.62000275
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,20,20,20,20,20,20,20,20,20,24.76000023,43.81000137,43.81000137,58.09999847,58.09999847,58.09999847,58.09999847,58.09999847,58.09999847,58.09999847,58.09999847,58.09999847,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,77.13999939,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,.,.,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817,86.66999817
Brunei,BRN,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,37.13999939,37.13999939,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,51.43000031,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,78.09999847,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,.,.,.,.,.,.,.,.,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725
Botswana,BWA,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,14.28999996,14.28999996,14.28999996,14.28999996,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,46.66999817,46.66999817,46.66999817,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,63.81000137,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,.,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275,87.62000275
Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,17.13999939,26.67000008,26.67000008,26.67000008,26.67000008,50,50,69.29000092,69.29000092,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031
Switzerland,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,19.04999924,23.80999947,23.80999947,23.80999947,23.80999947,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,51.43000031,51.43000031,51.43000031,51.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,76.43000031,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,71.66999817,57.38000107,57.38000107,57.38000107,57.38000107,57.38000107,57.38000107,57.38000107
Chile,CHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,28.56999969,45.24000168,45.24000168,53.81000137,53.81000137,53.81000137,57.38000107,66.90000153,66.90000153,66.90000153,82.37999725,82.37999725,82.37999725,82.37999725,82.37999725,82.37999725,82.37999725,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.86000061,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,.,.,.,.,.,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939
China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,20.95000076,40,40,40,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,69.76000214,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,66.19000244,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,71.90000153,68.33000183,68.33000183,68.33000183,68.33000183,68.33000183,68.33000183,68.33000183,68.33000183,68.33000183,68.33000183,71.19000244,71.19000244,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,58.09999847,58.09999847,58.09999847,58.09999847,58.09999847,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,52.13999939,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,61.66999817,62.86000061,62.86000061
Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,37.13999939,37.13999939,37.13999939,62.13999939,62.13999939,62.13999939,65,72.13999939,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,72.13999939,72.13999939,72.13999939,72.13999939
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,56.18999863,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,70.48000336,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,.,.,.,.,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969,68.56999969
Democratic Republic of Congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,2.859999895,5.710000038,5.710000038,5.710000038,5.710000038,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,24.76000023,65.23999786,68.09999847,68.09999847,72.86000061,72.86000061,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,85.23999786,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,81.66999817,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336
Congo,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,5.710000038,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,15.23999977,20.95000076,20.95000076,20.95000076,20.95000076,20.95000076,20.95000076,20.95000076,78.09999847,78.09999847,82.86000061,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939
Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,21.43000031,21.43000031,21.43000031,36.66999817,36.66999817,36.66999817,36.66999817,50.95000076,55.70999908,55.70999908,55.70999908,55.70999908,55.70999908,55.70999908,58.56999969,58.56999969,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,82.86000061,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,88.80999756,88.80999756,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847
Cape Verde,CPV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84.05000305,84.05000305,84.05000305,84.05000305,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,88.80999756,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939,72.13999939
Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,42.86000061,42.86000061,57.13999939,57.13999939,57.13999939,57.13999939,65.70999908,82.86000061,82.86000061,82.86000061,82.86000061,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,82.86000061,82.86000061,82.86000061,82.86000061,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092
Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,17.13999939,37.13999939,37.13999939,37.13999939,51.43000031,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,75.23999786,82.37999725,82.37999725,82.37999725,82.37999725,87.13999939,87.13999939,87.13999939,87.13999939,87.13999939,87.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,.,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,28.56999969,28.56999969,28.56999969,48.56999969,48.56999969,54.29000092,65,65,65,65,65,65,65,65,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,.,.,.,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969,93.56999969
Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,12.38000011,12.38000011,12.38000011,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,18.10000038,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,22.86000061,31.43000031,51.43000031,51.43000031,62.13999939,65.70999908,76.43000031,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,79.29000092,73.56999969,73.56999969,73.56999969,73.56999969,73.56999969,73.56999969,70,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031,66.43000031
Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,25,25,27.86000061,37.38000107,37.38000107,37.38000107,37.38000107,37.38000107,37.38000107,37.38000107,37.38000107,37.38000107,44.52000046,44.52000046,44.52000046,44.52000046,44.52000046,44.52000046,44.52000046,56.66999817,56.66999817,59.04999924,59.04999924,63.81000137,63.81000137,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,80.48000336,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,70.94999695,67.37999725,67.37999725,67.37999725,63.81000137,67.37999725,67.37999725,67.37999725,67.37999725
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70999908,40,40,40,60.24000168,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,92.37999725,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939,97.13999939
