,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020,12may2020,13may2020,14may2020,15may2020,16may2020,17may2020,18may2020,19may2020,20may2020,21may2020,22may2020,23may2020,24may2020,25may2020,26may2020,27may2020,28may2020,29may2020,30may2020,31may2020,01jun2020,02jun2020,03jun2020,04jun2020,05jun2020,06jun2020,07jun2020,08jun2020,09jun2020,10jun2020,11jun2020,12jun2020
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,11.53999996,11.53999996,21.14999962,21.14999962,25,25,25,26.92000008,26.92000008,26.92000008,26.92000008,26.92000008,26.92000008,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,59.93999863,59.93999863,59.93999863,59.93999863,59.93999863,63.77999878,63.77999878,63.77999878,63.77999878,63.77999878,63.77999878,63.77999878,63.77999878,63.77999878,65.70999908,69.55000305,69.55000305,69.55000305,69.55000305,69.55000305,69.55000305,69.55000305,69.55000305,69.55000305,69.55000305,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,.
Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,25,25,44.22999954,44.22999954,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,83.97000122,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,87.81999969,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,.,.,.,.,.
Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,17.95000076,23.07999992,23.07999992,23.07999992,30.77000046,30.77000046,38.45999908,38.45999908,38.45999908,46.15000153,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,75,75,75,75,75,75,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,.
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,15.38000011,15.38000011,15.38000011,15.38000011,15.38000011,15.38000011,15.38000011,47.43999863,47.43999863,49.36000061,49.36000061,60.90000153,60.90000153,60.90000153,60.90000153,69.87000275,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,.
Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,14.10000038,23.71999931,38.13999939,38.13999939,38.13999939,38.13999939,52.88000107,52.88000107,54.16999817,59.93999863,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,65.70999908,75,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,74.68000031,74.68000031,74.68000031,74.68000031,74.68000031,74.68000031,74.68000031,76.59999847,76.59999847,80.12999725,80.12999725,80.12999725,80.12999725,77.23999786,77.23999786,77.23999786,77.23999786,77.23999786,74.68000031,74.68000031,74.68000031,74.68000031,74.68000031,72.12000275,72.12000275,72.12000275,72.12000275,72.12000275,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,64.73999786,64.73999786,64.73999786,64.73999786,.
Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87000084,23.71999931,29.48999977,29.48999977,37.18000031,41.02999878,41.02999878,41.02999878,41.02999878,41.02999878,41.02999878,41.02999878,41.02999878,48.72000122,48.72000122,56.40999985,56.40999985,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,58.97000122,58.97000122,58.97000122,56.40999985,56.40999985,56.40999985,56.40999985,51.27999878,51.27999878,51.27999878,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,.
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26000023,10.26000023,10.26000023,34.61999893,34.61999893,34.61999893,34.61999893,34.61999893,34.61999893,34.61999893,36.54000092,36.54000092,42.95000076,48.72000122,48.72000122,48.72000122,48.72000122,54.49000168,54.49000168,54.49000168,54.49000168,54.49000168,54.49000168,54.49000168,54.49000168,54.49000168,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,.
Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,12.18000031,16.03000069,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,19.87000084,30.12999916,30.12999916,30.12999916,30.12999916,51.91999817,51.91999817,51.91999817,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,45.50999832,45.50999832,45.50999832,42.95000076,42.95000076,42.95000076,42.95000076,42.95000076,.,.,.,.,.,.,.
Fiji,FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,18.59000015,18.59000015,18.59000015,18.59000015,18.59000015,26.28000069,26.28000069,26.28000069,67.94999695,67.94999695,67.94999695,67.94999695,69.23000336,69.23000336,69.23000336,76.91999817,80.76999664,80.76999664,82.69000244,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,85.90000153,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,88.45999908,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,.,.,.,.
France,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.919999957,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,16.67000008,20.51000023,20.51000023,20.51000023,22.44000053,22.44000053,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,38.45999908,42.31000137,42.31000137,62.81999969,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,84.62000275,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,.
Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,14.73999977,28.20999908,28.20999908,28.20999908,35.90000153,35.90000153,35.90000153,35.90000153,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,56.40999985,56.40999985,56.40999985,56.40999985,56.40999985,56.40999985,56.40999985,56.40999985,56.40999985,56.40999985,64.09999847,73.72000122,73.72000122,74.04000092,75,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,82.05000305,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,80.12999725,.,.,.,.
United Kingdom,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,10.26000023,10.26000023,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,10.26000023,10.26000023,10.26000023,10.26000023,12.81999969,20.51000023,20.51000023,24.36000061,30.12999916,36.54000092,40.38000107,64.73999786,64.73999786,64.73999786,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,64.09999847,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,70.51000214,70.51000214,70.51000214,70.51000214,.
Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.769999981,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,13.46000004,23.71999931,23.71999931,23.71999931,23.71999931,31.40999985,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,39.09999847,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817,46.79000092,46.79000092,46.79000092,46.79000092,48.72000122,51.27999878,51.27999878,58.97000122,64.73999786,71.79000092,71.79000092,71.79000092,73.08000183,73.08000183,73.08000183,73.08000183,73.08000183,79.48999786,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,82.05000305,87.81999969,87.81999969,87.81999969,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,.,.,.,.,.,.,.,.
Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,5.769999981,13.46000004,13.46000004,13.46000004,17.30999947,38.45999908,44.86999893,44.86999893,44.86999893,44.86999893,50,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,75,75,75,75,75,75,78.84999847,78.84999847,78.84999847,78.84999847,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,82.69000244,81.41000366,71.79000092,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,62.18000031,62.18000031,62.18000031,62.18000031,62.18000031,62.18000031,62.18000031,62.18000031,62.18000031,62.18000031,.,.,.,.,.,.,.,.
Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,5.130000114,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,12.81999969,14.73999977,14.73999977,14.73999977,14.73999977,14.73999977,14.73999977,18.59000015,18.59000015,18.59000015,18.59000015,18.59000015,18.59000015,18.59000015,18.59000015,26.28000069,26.28000069,26.28000069,26.28000069,26.28000069,26.28000069,58.33000183,58.33000183,58.33000183,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,.,.,.,.,.,.,.,.
