,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020,12may2020,13may2020,14may2020,15may2020,16may2020,17may2020,18may2020,19may2020
Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,19.04999924,19.04999924,21.82999992,28.96999931,28.96999931,28.96999931,28.96999931,28.96999931,28.96999931,28.96999931,28.96999931,28.96999931,34.79000092,37.56999969,37.56999969,37.56999969,37.56999969,37.56999969,37.56999969,49.08000183,49.08000183,56.22000122,57.02000046,60.18999863,65.62000275,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,74.61000061,68.79000092,68.79000092,68.79000092,65.62000275,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,68.26000214,71.44000244,.
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21999931,33.33000183,33.33000183,33.33000183,48.93999863,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,96.02999878,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,.,.,.,100,100,100,100,.,.
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89000034,25,25,25,25,25,30.55999947,30.55999947,30.55999947,30.55999947,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,83.59999847,83.59999847,83.59999847,83.59999847,83.59999847,.,.,83.59999847,83.59999847,83.59999847,83.59999847,.,.
Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,19.30999947,19.30999947,19.30999947,37.56999969,37.56999969,37.56999969,37.56999969,44.70999908,53.29999924,53.29999924,76.70999908,79.48999786,79.48999786,79.48999786,79.48999786,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,84.12000275,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,81.47000122,79.48999786,79.48999786,79.48999786,79.48999786,.,.,79.48999786,79.48999786,79.48999786,79.48999786,79.48999786,.
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,25.26000023,31.07999992,31.07999992,72.48000336,83.59999847,83.59999847,83.59999847,83.59999847,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,92.72000122,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,98.01999664,.,.
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,18.25,18.25,32.13999939,32.13999939,37.70000076,37.70000076,37.70000076,37.70000076,37.70000076,37.70000076,37.70000076,37.70000076,37.70000076,73.15000153,73.15000153,73.15000153,73.15000153,73.15000153,73.15000153,73.15000153,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,80.56999969,84.54000092,84.54000092,84.54000092,84.54000092,84.54000092,84.54000092,84.54000092,84.54000092,84.54000092,84.54000092,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,82.41999817,.,.,.,.,.,82.41999817,82.41999817,82.41999817,82.41999817,.,.
Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,9.920000076,36.11000061,36.11000061,52.77999878,52.77999878,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,95.37000275,.,.,.,.,.,.,.,.,.,.,95.37000275,95.37000275,95.37000275,95.37000275,.,.
Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,19.57999992,19.57999992,19.57999992,41.79999924,41.79999924,52.90999985,52.90999985,52.90999985,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75,.,.
Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,25.67000008,47.09999847,47.09999847,47.09999847,47.09999847,71.69000244,71.69000244,74.86000061,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,77.63999939,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969,.,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969,83.06999969
Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.24000168,45.24000168,45.24000168,45.24000168,56.34999847,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,63.88999939,63.88999939,63.88999939,75,75,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,80.29000092,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,66.40000153,63.75999832,63.75999832,63.75999832,63.75999832,63.75999832,63.75999832,63.75999832,.,.
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.61999893,38.61999893,38.61999893,38.61999893,38.61999893,38.61999893,38.61999893,41.40000153,41.40000153,49.34000015,57.27999878,57.27999878,57.27999878,57.27999878,65.22000122,65.22000122,65.22000122,65.22000122,65.22000122,65.22000122,65.22000122,65.22000122,65.22000122,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,.,.
Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,43.50999832,47.47999954,47.47999954,47.47999954,71.55000305,71.55000305,71.55000305,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,75.12999725,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,74.33000183,65.73999786,65.73999786,65.73999786,65.73999786,.,.
France,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779999971,10.72000027,10.72000027,10.72000027,10.72000027,10.72000027,10.72000027,10.72000027,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,16.67000008,16.67000008,16.67000008,16.67000008,21.81999969,21.81999969,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,29.76000023,42.86000061,50,50,60.31000137,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,89.41000366,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,93.37999725,85.44000244,85.44000244,85.44000244,85.44000244,85.44000244,85.44000244,85.44000244,.,.
Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,15.47000027,35.70999908,35.70999908,35.70999908,46.81999969,46.81999969,46.81999969,46.81999969,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,67.19000244,80.41999817,80.41999817,76.73000336,79.90000153,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,88.88999939,89.41000366,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,86.23999786,.
United Kingdom,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,16.93000031,24.06999969,24.06999969,24.06999969,24.06999969,30.69000053,37.83000183,72.48000336,72.48000336,72.48000336,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,79.62999725,73.01000214,73.01000214,73.01000214,73.01000214,73.01000214,.,.
Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.329999924,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,19.44000053,30.55999947,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817,41.66999817,47.47999954,47.47999954,47.47999954,47.47999954,47.47999954,55.95000076,55.95000076,55.95000076,55.95000076,58.72999954,61.36999893,61.36999893,72.48000336,80.41999817,87.83999634,87.83999634,87.83999634,91.01000214,91.01000214,91.01000214,91.01000214,91.01000214,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,94.18000031,.,.
Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,2.779999971,9.920000076,9.920000076,9.920000076,9.920000076,13.89000034,45.24000168,50.79000092,50.79000092,50.79000092,50.79000092,50.79000092,53.56999969,53.56999969,53.56999969,53.56999969,53.56999969,53.56999969,53.56999969,53.56999969,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,85.84999847,82.68000031,69.44999695,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,66.52999878,.,.
Gambia,GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,11.10999966,57.27000046,57.27000046,65.59999847,65.59999847,65.59999847,68.37999725,68.37999725,68.37999725,68.37999725,80.80999756,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,84.77999878,.,.
Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10999966,11.10999966,11.10999966,11.10999966,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,26.98999977,26.98999977,26.98999977,26.98999977,30.15999985,33.33000183,33.33000183,41.79999924,41.79999924,57.27000046,57.27000046,57.27000046,57.27000046,68.37999725,68.37999725,68.37999725,76.31999969,76.31999969,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,87.95999908,84.79000092,76.98000336,76.98000336,76.98000336,76.98000336,76.98000336,76.98000336,74.33999634,74.33999634,74.33999634,74.33999634,74.33999634,74.33999634,74.33999634,74.33999634,.
Greenland,GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,39.68000031,39.68000031,39.68000031,39.68000031,39.68000031,67.84999847,78.95999908,78.95999908,78.95999908,78.95999908,78.95999908,78.95999908,78.95999908,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,82.93000031,79.76000214,79.76000214,79.76000214,79.76000214,83.73000336,83.73000336,83.73000336,83.73000336,82.93000031,82.93000031,82.93000031,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,.
